winrate,opening_kills,multikills,5v4,4v5,trades,grenades_damage,flash_assists
52.2,51.5,0.73,74.8,28.2,20.6,24.9,0.23
51.4,52.3,0.79,72.4,28.4,18.5,25.2,0.23
49.7,48.7,0.83,67.7,32.8,18.2,26.2,0.36
51.8,51.5,0.77,74.1,28.0,22.3,18.1,0.26
50.2,52.5,0.78,72.0,26.3,19.4,30.3,0.21
50.2,49.0,0.81,72.7,28.4,18.7,19.3,0.22
50.5,45.8,0.86,76.4,28.5,18.9,17.5,0.22
50.3,49.5,0.83,71.0,30.0,19.6,24.2,0.26
52.4,53.0,0.78,73.5,28.7,18.7,26.7,0.28
49.9,51.0,0.76,71.0,27.9,17.9,21.9,0.19
50.2,51.2,0.86,73.5,25.8,18.7,16.8,0.18
49.8,48.6,0.79,71.7,29.1,18.5,26.3,0.15
48.1,48.7,0.8,69.0,28.1,18.9,19.9,0.24
48.4,49.5,0.81,68.3,28.9,21.2,15.9,0.19
49.8,49.8,0.82,71.2,28.7,21.6,23.0,0.25
48.3,44.8,0.8,71.8,29.3,17.3,24.8,0.21
48.0,47.1,0.79,69.2,29.2,20.1,22.4,0.13
44.7,49.2,0.8,66.5,23.6,21.1,25.4,0.3
45.9,46.4,0.77,71.2,24.0,18.0,22.7,0.26
47.1,46.2,0.74,71.7,26.1,17.1,30.9,0.29
48.5,47.9,0.78,69.6,29.1,17.9,19.5,0.19
47.9,47.2,0.75,73.7,25.1,20.3,18.3,0.23
45.7,49.8,0.73,68.5,22.8,21.0,22.1,0.36
62.0,56.1,0.98,82.5,35.7,19.6,20.1,0.19
58.1,53.8,0.87,77.7,35.3,22.5,31.2,0.25
58.2,52.2,0.9,78.5,36.0,24.1,25.5,0.27
57.0,53.4,0.88,77.7,33.5,19.2,24.4,0.2
54.6,53.3,0.88,73.4,32.8,19.8,21.7,0.15
55.1,52.2,0.8,77.4,30.8,22.0,18.9,0.22
52.5,51.8,0.81,73.9,29.4,20.1,22.8,0.2
55.1,52.5,0.81,78.7,28.9,22.6,25.9,0.26
52.8,52.0,0.83,72.7,31.1,19.4,28.4,0.26
54.6,49.6,0.84,75.7,33.9,19.6,15.0,0.24
51.5,49.7,0.86,72.1,30.9,17.8,20.3,0.23
52.2,55.4,0.82,73.9,25.6,19.4,27.8,0.37
51.5,52.3,0.84,73.7,26.9,20.2,21.8,0.24
48.7,47.4,0.83,72.3,27.6,20.9,18.5,0.22
50.5,48.6,0.8,74.0,28.3,19.1,19.7,0.16
50.5,49.9,0.81,70.7,30.4,23.7,22.2,0.18
49.1,45.4,0.81,72.7,29.5,17.4,24.7,0.19
49.0,51.9,0.79,67.7,28.8,19.3,17.6,0.2
48.1,46.5,0.77,72.8,26.8,17.7,19.8,0.19
49.7,52.0,0.74,72.8,24.7,18.2,21.0,0.25
46.9,45.2,0.79,71.5,26.4,17.2,18.8,0.18
45.8,48.6,0.75,71.7,21.5,18.1,15.7,0.24
47.1,46.4,0.72,72.6,25.3,20.7,23.9,0.21
45.1,44.6,0.75,69.2,25.6,17.9,15.7,0.17
45.4,49.2,0.74,66.0,25.4,18.3,18.0,0.27
63.7,56.1,0.97,79.3,43.7,24.7,23.7,0.26
60.3,47.9,0.92,79.5,42.4,21.3,26.6,0.34
55.9,54.6,0.87,75.2,32.8,20.8,21.0,0.27
55.6,52.7,0.86,77.0,31.7,23.3,21.1,0.13
56.8,51.0,0.84,77.7,35.3,19.2,30.3,0.22
55.1,52.0,0.87,75.7,32.8,22.2,25.8,0.14
54.6,51.9,0.83,77.2,30.2,22.0,25.0,0.3
53.8,52.5,0.85,74.4,31.1,20.4,21.9,0.26
52.0,53.5,0.85,71.0,30.1,22.0,21.9,0.24
53.8,51.4,0.83,73.6,32.8,19.7,26.1,0.26
55.4,55.5,0.84,76.6,28.9,20.9,14.7,0.14
51.7,48.4,0.87,73.7,30.9,21.1,25.7,0.2
52.9,53.1,0.86,71.7,31.8,18.8,22.9,0.18
52.1,51.7,0.84,73.4,29.4,19.4,18.6,0.23
53.2,55.5,0.81,72.8,29.1,18.3,21.9,0.25
52.3,51.1,0.88,76.0,27.4,18.9,22.2,0.19
54.5,54.3,0.85,72.8,32.8,22.3,27.4,0.33
54.5,54.4,0.83,74.1,31.0,20.9,26.6,0.29
53.7,51.9,0.8,71.5,34.4,20.1,28.4,0.26
53.3,54.6,0.82,69.4,33.8,21.8,21.5,0.24
50.5,48.0,0.82,75.1,27.8,22.5,17.9,0.2
50.6,50.5,0.79,70.9,30.0,20.2,30.8,0.24
50.8,53.7,0.81,71.7,26.8,19.0,30.4,0.17
54.1,49.1,0.82,74.1,34.9,21.1,20.8,0.26
52.6,50.9,0.81,72.9,31.6,19.1,26.3,0.32
51.3,49.1,0.81,73.8,29.4,20.8,20.5,0.22
51.0,51.0,0.78,71.1,30.1,19.2,21.9,0.2
47.4,52.4,0.77,68.7,24.0,20.7,19.0,0.26
51.9,53.8,0.76,74.7,25.4,22.7,25.1,0.27
48.2,49.4,0.79,69.2,27.7,21.3,24.8,0.23
49.1,52.7,0.82,69.9,25.8,21.0,26.4,0.15
49.4,49.6,0.83,74.3,24.7,20.1,21.7,0.22
52.1,46.0,0.82,79.2,29.1,24.0,25.9,0.28
51.6,50.7,0.8,71.2,31.2,19.3,22.4,0.26
49.9,51.7,0.82,70.3,28.0,19.4,20.5,0.2
49.9,48.1,0.81,72.9,28.7,19.4,15.1,0.19
48.9,50.7,0.77,68.3,29.2,21.3,22.6,0.26
47.9,48.1,0.8,72.2,25.3,23.3,20.4,0.29
49.8,49.4,0.77,73.6,26.5,21.1,20.0,0.26
49.8,49.1,0.78,73.7,26.9,21.1,24.3,0.32
47.9,47.7,0.74,71.2,26.6,21.2,23.8,0.27
47.4,48.6,0.79,67.9,27.9,19.4,20.4,0.22
48.3,49.1,0.78,70.2,27.1,18.1,22.2,0.21
47.2,49.2,0.8,71.5,23.6,20.9,19.5,0.24
46.2,53.7,0.78,66.5,22.7,17.4,18.6,0.23
48.3,48.6,0.78,69.5,28.3,21.7,20.5,0.24
47.6,45.0,0.73,75.5,24.8,17.3,15.5,0.25
45.4,45.5,0.78,67.5,27.2,18.1,21.1,0.27
46.5,44.6,0.82,69.8,27.5,17.3,29.2,0.29
43.0,48.6,0.68,63.3,24.0,17.6,16.5,0.22
47.2,51.4,0.72,71.1,22.1,19.4,19.1,0.27
41.5,44.8,0.76,65.2,22.3,15.6,14.5,0.16
59.9,54.4,0.89,82.1,33.3,21.6,28.6,0.28
57.0,54.0,0.88,76.3,34.1,24.9,22.3,0.31
56.1,54.7,0.9,75.8,32.1,20.1,23.1,0.25
57.1,54.3,0.87,76.8,33.5,19.8,27.3,0.26
56.0,52.6,0.88,74.6,35.1,19.7,31.5,0.23
58.0,55.7,0.92,78.8,31.9,23.1,20.3,0.23
56.7,55.4,0.87,76.6,32.0,20.2,25.2,0.26
54.5,53.0,0.85,74.9,31.6,19.8,21.2,0.24
55.4,53.2,0.86,76.4,31.3,20.6,23.3,0.28
54.3,52.1,0.88,75.0,31.7,20.3,27.9,0.31
54.3,52.2,0.87,75.8,30.9,22.3,19.7,0.24
52.6,50.8,0.85,74.5,30.2,16.8,27.7,0.23
53.6,52.4,0.81,74.0,31.1,20.9,30.0,0.31
52.9,51.4,0.82,74.2,30.2,20.4,26.2,0.24
53.8,52.3,0.86,70.3,35.6,22.3,28.3,0.36
51.7,50.4,0.85,73.4,29.6,19.1,22.9,0.2
51.6,49.8,0.83,71.5,31.8,20.7,22.1,0.19
53.4,53.8,0.85,73.3,30.3,21.8,22.1,0.28
51.0,53.5,0.82,71.3,27.6,19.0,22.3,0.25
52.6,49.1,0.81,73.6,32.3,18.8,20.6,0.19
53.6,55.4,0.85,71.6,31.3,20.8,23.1,0.23
51.0,52.6,0.83,71.5,28.3,19.2,29.5,0.19
51.2,51.4,0.83,75.2,25.8,20.5,21.3,0.27
52.0,50.4,0.82,72.6,31.1,22.0,28.2,0.23
52.5,56.1,0.82,70.9,29.1,17.8,26.8,0.29
52.1,50.6,0.82,75.2,28.6,19.6,24.6,0.25
51.9,49.6,0.88,72.6,31.6,19.8,19.9,0.19
50.8,52.7,0.82,71.4,27.9,22.3,19.4,0.2
50.4,50.0,0.84,72.8,27.9,19.6,25.0,0.25
51.0,51.0,0.79,69.8,31.5,20.5,23.8,0.35
49.2,47.9,0.79,72.1,27.9,21.1,27.7,0.24
52.9,48.7,0.79,74.1,32.9,19.2,21.7,0.26
51.5,50.3,0.8,75.1,27.6,19.2,19.0,0.24
50.9,50.5,0.78,73.0,28.3,21.2,26.4,0.31
51.0,48.3,0.77,75.2,28.1,18.5,23.1,0.28
51.4,50.1,0.77,73.8,29.0,19.2,33.3,0.3
48.0,48.9,0.79,72.7,24.0,18.2,20.0,0.21
50.8,51.8,0.77,72.2,27.8,22.0,25.1,0.25
48.9,49.1,0.79,71.0,27.4,19.4,25.8,0.15
48.9,50.0,0.75,70.4,27.5,18.0,24.9,0.2
50.4,50.2,0.77,70.9,30.0,20.7,26.2,0.27
48.6,51.1,0.76,67.6,28.9,17.5,25.3,0.22
49.5,45.5,0.81,77.3,26.3,20.3,25.1,0.2
50.2,48.2,0.79,72.9,29.0,17.8,20.1,0.24
50.2,52.7,0.78,72.6,25.6,20.8,28.1,0.27
48.4,47.6,0.8,69.1,29.7,19.8,25.2,0.16
49.6,47.2,0.78,74.1,27.7,19.1,20.9,0.21
46.9,47.5,0.82,70.4,25.6,18.8,16.2,0.2
47.5,50.3,0.78,69.9,24.9,17.8,22.5,0.22
48.4,47.0,0.77,73.5,26.3,20.1,25.6,0.19
47.0,48.5,0.73,69.0,26.5,19.3,24.3,0.22
48.0,47.8,0.75,71.2,26.7,18.4,20.5,0.31
48.1,47.2,0.78,71.1,27.5,18.4,24.6,0.22
47.7,45.3,0.74,70.4,29.0,19.0,23.8,0.24
45.6,48.9,0.74,68.3,24.1,18.5,29.0,0.28
46.9,50.9,0.72,68.1,25.0,19.0,23.7,0.21
45.8,48.5,0.74,68.7,24.3,19.1,20.0,0.25
41.5,42.6,0.7,64.8,24.1,19.6,16.9,0.25
58.9,56.8,0.89,79.2,32.3,20.9,28.3,0.21
58.1,57.1,0.91,75.3,35.3,21.4,20.6,0.21
57.5,55.0,0.87,79.1,31.1,21.5,20.5,0.28
53.3,53.7,0.86,75.3,27.5,18.6,22.5,0.22
56.6,55.9,0.89,74.2,34.3,19.2,24.6,0.25
55.2,52.5,0.88,76.6,31.5,19.8,18.7,0.25
54.7,53.1,0.85,72.2,34.9,20.6,26.1,0.24
54.9,53.5,0.84,75.9,30.9,20.3,22.5,0.25
56.4,50.8,0.86,77.0,35.3,21.9,26.2,0.37
53.1,57.3,0.86,72.5,27.4,21.8,21.8,0.24
53.3,52.4,0.82,72.7,31.9,19.6,23.3,0.21
54.1,51.2,0.82,74.3,32.9,19.2,24.9,0.22
52.1,52.3,0.81,72.8,29.3,18.1,23.1,0.28
52.6,49.6,0.85,77.0,28.6,18.4,22.8,0.24
51.8,50.2,0.81,74.1,29.1,21.2,27.8,0.27
51.4,51.3,0.85,72.6,29.0,20.5,27.4,0.19
52.5,52.1,0.85,73.4,29.7,20.5,27.0,0.18
51.7,52.4,0.82,73.9,27.3,20.7,23.7,0.18
50.8,49.5,0.82,71.6,30.4,19.1,17.6,0.21
52.4,49.7,0.83,71.5,33.4,21.0,25.4,0.23
51.4,50.3,0.82,72.9,29.8,21.6,22.4,0.23
50.1,54.6,0.79,71.1,24.7,21.9,20.9,0.27
52.1,52.0,0.83,70.9,31.8,18.5,24.3,0.24
47.2,48.5,0.83,68.5,27.3,19.3,24.6,0.22
49.3,49.6,0.8,70.5,28.4,20.2,28.8,0.32
52.0,47.6,0.79,75.8,30.4,20.0,23.3,0.21
51.8,48.0,0.79,75.1,30.4,19.7,23.4,0.2
49.1,49.3,0.81,72.3,26.5,18.7,25.5,0.19
51.1,50.2,0.8,75.6,26.4,19.3,24.5,0.18
50.8,48.6,0.79,75.0,28.0,17.1,21.9,0.2
50.1,48.2,0.79,68.4,33.2,19.3,28.2,0.22
47.3,50.5,0.79,67.7,26.2,19.7,15.4,0.24
50.3,51.7,0.77,69.6,29.8,22.1,24.0,0.28
49.9,49.2,0.81,69.4,31.0,19.5,26.3,0.26
49.9,50.6,0.83,73.2,26.2,20.5,21.4,0.25
49.6,48.8,0.83,71.5,28.9,19.6,11.0,0.14
49.0,50.1,0.77,72.8,24.8,19.1,20.7,0.28
48.2,50.3,0.75,71.3,24.8,19.8,20.8,0.24
48.3,46.4,0.8,72.4,27.4,20.7,20.8,0.3
49.1,47.6,0.77,71.0,29.3,20.2,20.8,0.28
49.3,50.8,0.77,68.6,29.4,18.4,21.5,0.23
49.4,46.7,0.75,70.1,31.2,18.3,21.2,0.28
49.8,48.3,0.77,73.0,27.9,18.3,21.2,0.24
44.4,48.0,0.8,66.0,24.4,17.7,26.4,0.22
60.1,52.5,0.89,80.8,37.2,26.3,25.4,0.32
61.3,54.7,0.89,83.2,34.8,23.4,24.4,0.22
56.6,55.5,0.87,75.8,32.9,19.5,26.8,0.27
59.9,51.5,0.86,80.0,38.5,23.6,26.2,0.16
55.4,55.1,0.86,74.7,31.5,19.7,25.5,0.22
55.9,52.0,0.85,76.4,33.7,19.8,26.6,0.2
55.0,53.7,0.87,72.6,34.6,19.8,23.6,0.26
54.6,53.1,0.86,73.3,33.5,18.6,25.5,0.2
54.6,54.7,0.86,74.3,30.9,20.8,18.1,0.16
55.3,50.7,0.88,73.4,36.5,22.3,21.6,0.22
54.7,52.1,0.83,77.6,29.7,17.5,23.6,0.24
54.6,50.0,0.86,75.8,33.4,21.4,25.0,0.12
53.6,49.2,0.84,76.5,31.5,21.1,19.1,0.26
52.8,52.6,0.82,72.8,30.6,20.6,21.8,0.24
53.2,49.3,0.83,75.7,31.1,19.8,31.0,0.34
54.5,51.0,0.83,75.6,32.5,20.2,31.4,0.24
53.2,48.8,0.86,77.4,30.2,21.8,15.8,0.23
53.1,54.7,0.83,72.4,30.0,20.4,23.4,0.22
51.3,50.9,0.84,72.4,29.2,21.0,23.7,0.27
52.3,50.4,0.81,74.8,29.7,20.8,20.6,0.23
52.5,52.1,0.77,73.6,29.4,19.1,20.1,0.23
49.7,48.1,0.83,74.0,27.3,21.5,16.8,0.24
52.0,54.2,0.83,71.6,29.0,18.4,17.9,0.16
53.0,49.8,0.83,74.2,32.0,22.1,23.5,0.25
51.2,50.3,0.86,74.2,27.9,19.7,21.4,0.22
52.5,49.3,0.81,73.9,31.7,22.0,23.1,0.31
51.0,49.6,0.81,71.9,30.4,18.1,23.5,0.26
51.0,51.3,0.8,73.2,27.7,18.9,19.4,0.24
50.2,52.4,0.82,69.6,28.9,21.7,21.2,0.23
50.8,51.6,0.79,69.1,31.3,16.7,20.8,0.28
50.8,49.8,0.81,73.3,28.6,19.8,28.5,0.25
49.2,49.5,0.8,69.1,29.9,20.5,27.2,0.29
50.3,47.6,0.8,73.5,29.3,18.9,20.0,0.3
52.9,48.9,0.8,75.9,30.9,19.2,27.0,0.26
50.2,51.2,0.75,72.4,26.9,18.0,20.7,0.23
50.6,48.7,0.78,71.9,30.3,20.1,22.2,0.2
50.7,49.4,0.79,72.7,29.3,20.8,25.9,0.26
48.7,48.1,0.74,71.9,27.4,21.6,27.4,0.35
47.8,52.6,0.78,69.6,23.6,18.9,20.8,0.25
50.1,52.2,0.82,73.6,24.3,18.5,21.3,0.2
49.7,52.6,0.8,69.1,28.3,19.5,23.9,0.26
50.5,50.3,0.78,71.6,29.0,20.9,22.9,0.2
49.5,48.0,0.76,73.1,27.7,18.8,21.6,0.24
49.8,54.2,0.81,64.9,32.0,18.7,18.6,0.19
49.2,51.9,0.76,71.6,25.1,19.2,21.0,0.25
51.8,50.8,0.77,71.9,30.8,18.3,17.2,0.23
45.9,48.5,0.77,68.2,25.2,17.6,14.4,0.25
48.5,56.1,0.8,65.9,26.2,19.8,22.1,0.2
48.5,49.2,0.78,69.3,28.3,18.3,20.7,0.22
49.5,47.7,0.79,70.3,30.6,19.4,16.0,0.25
49.2,49.2,0.74,71.9,27.2,19.3,25.4,0.22
49.9,50.7,0.78,71.2,28.0,18.8,17.8,0.19
48.9,50.0,0.77,71.7,26.3,21.0,21.8,0.29
45.4,51.6,0.73,61.1,28.6,19.5,22.9,0.2
49.0,44.4,0.77,77.3,26.4,18.9,19.2,0.21
46.8,45.8,0.75,70.2,27.1,18.6,26.4,0.2
47.4,50.9,0.76,71.4,22.3,17.9,20.7,0.2
46.6,44.9,0.75,71.5,26.2,20.9,22.4,0.19
46.4,47.3,0.75,66.7,28.3,19.4,17.5,0.16
42.9,46.0,0.76,64.9,24.2,19.0,21.5,0.25
43.9,44.2,0.74,69.6,23.5,15.5,23.6,0.23
45.8,48.2,0.71,67.0,26.2,16.4,23.0,0.18
45.9,48.5,0.73,65.6,27.3,21.5,23.5,0.18
58.9,54.5,0.94,77.1,37.1,21.2,21.1,0.19
55.5,52.4,0.88,76.8,32.3,22.3,24.5,0.16
55.8,49.8,0.89,77.1,34.7,19.6,22.0,0.23
57.9,56.3,0.84,77.2,32.8,21.7,26.0,0.23
54.4,52.6,0.85,75.6,31.1,19.5,25.9,0.2
53.7,52.0,0.86,75.4,30.3,21.3,26.2,0.28
55.0,54.4,0.85,76.3,29.7,20.8,23.5,0.26
56.2,52.1,0.87,76.4,34.3,22.5,20.7,0.23
53.7,53.7,0.89,73.9,30.5,22.1,20.3,0.28
53.1,52.6,0.85,73.6,30.2,21.3,22.3,0.25
52.7,54.0,0.83,73.4,28.3,19.7,20.5,0.25
52.3,45.8,0.86,72.7,34.9,22.6,22.5,0.23
50.5,51.8,0.83,70.7,28.9,20.1,17.7,0.17
52.0,49.5,0.85,71.5,32.9,20.3,25.7,0.34
51.5,50.0,0.85,74.8,28.3,17.1,22.2,0.25
50.8,52.1,0.84,74.2,25.3,19.7,24.3,0.22
50.9,49.1,0.87,74.9,27.7,22.5,20.1,0.2
53.9,54.2,0.81,72.5,31.8,20.0,30.2,0.29
52.5,48.9,0.79,74.9,31.0,21.2,22.8,0.28
50.1,45.1,0.84,70.0,33.7,19.0,20.6,0.18
52.5,50.5,0.81,73.9,30.7,19.2,31.7,0.3
50.9,46.3,0.84,74.7,30.5,18.1,23.9,0.17
51.9,53.3,0.8,72.1,28.9,19.5,22.5,0.23
47.0,44.8,0.83,71.4,27.0,20.4,18.9,0.22
49.4,51.1,0.81,71.1,26.6,19.1,19.6,0.3
49.5,49.5,0.82,72.6,26.8,21.4,21.0,0.22
50.4,50.1,0.81,72.9,27.9,19.3,20.3,0.25
50.2,47.2,0.81,73.6,29.2,18.8,17.0,0.25
49.1,48.2,0.76,74.1,25.8,19.4,20.9,0.23
49.4,49.0,0.8,72.0,27.6,20.4,22.6,0.29
49.9,51.1,0.78,72.9,25.9,20.0,26.2,0.26
46.7,48.3,0.78,69.4,25.1,17.0,20.0,0.22
49.9,46.8,0.79,71.5,30.8,19.4,29.2,0.19
48.2,50.2,0.79,71.3,25.1,18.2,19.8,0.22
50.0,51.0,0.8,72.0,27.4,19.4,22.7,0.24
49.7,51.0,0.77,71.8,26.6,19.6,19.4,0.22
48.5,44.9,0.76,71.8,29.5,19.3,22.4,0.31
47.0,48.6,0.77,70.5,24.6,19.4,22.9,0.21
50.2,51.4,0.77,70.5,28.7,21.2,26.0,0.27
48.4,48.2,0.73,71.6,26.9,18.8,31.4,0.33
45.4,44.6,0.78,68.6,26.9,18.4,18.3,0.21
45.8,45.2,0.74,69.8,25.9,19.5,21.0,0.28
43.3,48.4,0.74,63.5,24.2,19.2,19.9,0.18
40.0,45.5,0.67,64.7,19.4,15.0,19.0,0.21
58.4,54.6,0.92,75.7,37.6,24.0,24.2,0.21
57.9,55.6,0.88,77.5,33.3,20.9,21.6,0.29
55.0,55.0,0.88,77.9,27.0,20.5,21.4,0.23
56.6,55.8,0.93,75.1,33.3,23.2,24.1,0.24
58.0,52.6,0.89,76.0,38.1,20.5,21.8,0.28
56.6,55.1,0.9,76.3,32.5,21.0,20.6,0.2
56.7,53.7,0.88,77.3,32.8,22.2,22.1,0.25
57.6,52.5,0.88,80.1,32.8,20.7,22.1,0.19
53.8,54.0,0.87,73.9,30.3,21.7,19.8,0.26
54.8,51.5,0.88,75.5,32.8,20.2,20.7,0.23
53.9,54.8,0.82,73.9,29.5,20.0,24.9,0.19
53.1,53.7,0.84,71.6,31.7,17.5,27.4,0.19
53.4,48.9,0.88,76.2,31.6,21.2,26.5,0.22
53.0,51.9,0.88,72.9,31.4,20.7,19.2,0.23
52.4,52.0,0.84,75.0,27.8,21.5,19.9,0.23
52.7,54.6,0.82,75.4,25.4,18.7,17.9,0.18
51.4,52.1,0.84,75.0,25.7,20.6,18.3,0.16
52.6,50.6,0.84,72.4,32.2,20.5,28.5,0.31
53.7,48.3,0.83,77.6,31.4,21.9,22.8,0.28
53.0,49.6,0.83,76.2,30.1,17.8,22.6,0.19
51.4,51.2,0.83,69.3,32.5,18.5,20.4,0.29
52.4,55.4,0.76,71.3,29.3,20.3,28.2,0.18
50.5,52.7,0.8,72.9,25.7,19.9,23.8,0.24
51.0,54.6,0.83,70.7,27.2,18.9,23.9,0.21
52.4,52.9,0.84,73.4,28.7,21.8,20.6,0.24
51.2,51.3,0.8,71.4,29.9,22.3,20.2,0.24
49.9,53.0,0.78,70.3,27.1,17.6,29.5,0.18
48.2,50.4,0.82,70.2,25.6,22.0,22.6,0.18
53.8,48.5,0.79,79.5,29.8,20.4,18.2,0.24
49.3,48.1,0.77,66.8,32.9,20.5,33.8,0.35
48.9,49.4,0.81,72.6,25.6,18.2,18.6,0.26
52.4,49.2,0.79,75.9,29.7,20.2,20.1,0.3
51.8,48.2,0.77,76.2,29.2,20.2,23.0,0.19
50.0,47.8,0.84,69.3,32.4,21.9,20.5,0.24
50.2,49.3,0.76,72.1,29.0,21.8,13.6,0.27
50.4,49.6,0.79,75.7,25.4,19.7,25.6,0.29
50.5,51.7,0.81,72.2,27.5,21.5,23.2,0.2
47.9,47.9,0.83,72.7,24.9,23.0,20.7,0.21
48.3,51.2,0.77,70.5,25.0,18.2,22.0,0.3
50.9,48.4,0.78,76.6,27.0,18.7,18.6,0.24
48.2,48.9,0.79,68.3,28.8,17.9,17.7,0.27
47.0,47.7,0.82,68.8,27.2,20.3,18.9,0.19
49.3,50.4,0.74,69.3,29.0,18.5,24.1,0.28
48.3,47.5,0.8,70.3,28.4,19.2,18.2,0.16
47.5,49.4,0.8,68.5,27.2,18.8,21.3,0.24
44.6,42.9,0.79,71.0,24.5,19.8,23.4,0.2
46.9,47.9,0.75,71.3,24.4,18.1,26.6,0.21
45.9,50.8,0.74,68.3,22.7,17.1,21.9,0.22
40.2,45.0,0.71,60.3,23.7,20.8,18.5,0.23
61.2,57.7,0.95,80.3,35.5,24.0,25.7,0.27
61.9,60.9,0.86,75.5,40.6,22.0,29.9,0.22
57.1,55.0,0.93,73.8,36.6,22.2,22.0,0.22
57.9,56.8,0.92,74.9,35.0,22.6,27.7,0.28
57.2,54.2,0.87,77.7,32.7,24.0,25.2,0.25
57.0,50.4,0.91,77.1,36.5,22.0,17.6,0.2
57.4,55.4,0.88,75.0,35.6,21.7,23.2,0.26
55.4,53.2,0.85,75.3,32.8,21.5,21.3,0.18
55.8,53.2,0.86,77.3,31.6,23.0,31.4,0.25
56.1,52.8,0.86,78.3,31.0,20.2,23.8,0.28
53.7,52.9,0.85,75.2,29.0,22.8,16.7,0.22
54.2,50.4,0.84,76.7,31.3,21.7,22.1,0.26
55.4,52.4,0.83,73.6,35.5,21.3,19.6,0.24
55.0,52.4,0.89,73.9,33.9,18.1,18.6,0.21
54.4,50.7,0.86,74.6,33.4,19.9,22.8,0.21
55.1,52.7,0.8,75.0,33.0,21.6,15.8,0.19
52.7,48.7,0.83,76.3,30.5,20.4,23.8,0.19
54.3,52.3,0.87,74.4,32.1,21.6,18.1,0.22
53.6,52.1,0.85,75.8,29.4,21.4,18.0,0.22
52.7,49.7,0.83,73.8,31.6,20.4,20.0,0.2
53.7,55.1,0.78,71.4,32.3,23.0,28.1,0.23
52.2,49.7,0.82,75.8,28.9,19.7,17.4,0.24
52.0,47.5,0.81,73.0,32.9,20.5,28.0,0.32
52.7,50.6,0.78,74.4,30.5,20.9,24.3,0.24
52.6,52.5,0.81,74.5,28.4,19.4,24.1,0.16
50.5,51.4,0.79,73.3,26.5,18.8,24.9,0.21
52.2,54.7,0.79,74.2,25.5,16.2,22.1,0.2
51.1,47.0,0.84,72.6,32.2,22.4,19.0,0.22
53.5,49.4,0.82,71.7,35.6,21.5,20.9,0.24
51.2,50.0,0.81,73.9,28.5,20.3,26.2,0.27
54.0,51.6,0.82,77.5,29.1,21.1,26.1,0.26
51.2,51.1,0.82,70.6,31.1,18.2,20.9,0.2
51.0,49.7,0.78,73.5,28.7,20.5,20.1,0.26
51.0,47.7,0.81,76.9,27.5,24.5,17.7,0.19
50.3,50.8,0.79,70.3,29.8,19.7,27.9,0.29
50.6,54.4,0.83,67.7,30.3,17.3,18.6,0.22
52.0,47.1,0.82,74.2,32.3,20.6,17.5,0.29
48.9,51.6,0.78,66.5,30.1,17.5,23.7,0.27
50.1,53.4,0.85,72.1,25.1,17.1,19.4,0.15
49.6,51.0,0.81,68.5,29.9,20.8,19.5,0.26
49.2,51.9,0.74,67.4,29.8,21.2,28.3,0.2
46.0,47.9,0.81,68.0,25.5,18.9,19.5,0.25
49.2,50.7,0.75,69.3,28.6,20.8,14.9,0.22
49.0,48.7,0.79,69.8,29.3,19.1,17.2,0.22
48.9,49.3,0.8,73.2,24.9,22.2,25.8,0.24
50.3,47.8,0.79,75.9,26.9,20.6,18.9,0.23
48.1,49.9,0.79,68.9,27.4,19.1,23.6,0.21
47.7,47.8,0.81,69.0,28.3,20.0,15.3,0.19
49.2,48.0,0.75,70.0,30.0,17.9,21.3,0.1
49.4,46.5,0.78,73.2,28.7,19.3,21.3,0.24
49.7,49.3,0.72,70.2,30.1,17.6,18.6,0.2
49.6,49.3,0.78,71.4,28.1,19.7,25.4,0.25
46.2,49.0,0.8,69.3,24.0,19.9,17.5,0.23
49.3,53.0,0.78,68.3,27.8,19.1,17.7,0.23
49.9,50.5,0.77,70.4,28.9,18.2,28.3,0.22
47.5,50.5,0.74,68.4,26.4,20.6,15.7,0.21
49.1,48.6,0.8,70.6,28.7,17.8,16.1,0.19
47.0,47.7,0.74,71.7,24.4,21.0,24.5,0.27
45.5,50.0,0.78,69.0,22.0,19.3,19.9,0.24
46.1,45.8,0.74,67.3,28.1,20.9,32.0,0.27
46.6,47.2,0.77,66.3,29.0,16.6,16.8,0.18
45.2,50.6,0.74,66.4,23.2,17.2,18.4,0.14
45.4,47.9,0.74,66.2,26.3,17.0,25.0,0.27
43.4,44.7,0.74,68.6,23.2,18.1,16.4,0.24
46.7,44.7,0.77,70.9,27.1,19.0,23.0,0.19
47.3,46.8,0.75,72.4,25.5,19.8,22.7,0.25
43.1,46.0,0.73,71.3,19.0,18.5,20.4,0.26
44.3,52.7,0.73,59.0,28.2,18.8,20.4,0.19
46.4,50.5,0.73,68.1,24.2,18.0,23.1,0.17
42.9,45.5,0.72,65.2,24.0,19.4,19.7,0.25
67.2,54.3,0.98,88.3,41.9,22.0,34.7,0.23
57.7,57.5,0.91,74.5,35.0,24.5,25.4,0.29
57.7,58.5,0.9,75.9,32.2,22.2,26.4,0.22
56.2,54.7,0.92,76.7,31.2,22.6,24.8,0.26
57.5,53.4,0.86,77.6,34.4,22.1,22.9,0.2
56.5,52.7,0.9,78.6,31.8,22.5,27.6,0.24
57.6,56.1,0.84,73.5,37.6,24.2,23.6,0.27
56.8,57.7,0.87,73.6,33.9,22.4,27.6,0.31
